#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Mar 07 10:56:08 EST 2019,0,0,Assignment2OneClientSuite, , ,RMINIOOneClientConnection- RMINIOOneClientReadWriteAtomic- RMINIOOneClientReadWriteNonAtomic- RMINIOStaticArguments- ,RMINIOClientMetaStateBroadcast RMINIOClientMetaStateNoBroadcast RMINIOServerMetaStateBroadcast RMINIOServerMetaStateNoBroadcast RMINIOTwoClientConnection RMINIOTwoClientReadWriteAtomic RMINIOTwoClientReadWriteNonAtomic ,
1,Tue Mar 26 20:23:05 EDT 2019,36,36,Assignment2Suite,RMINIOClientMetaStateBroadcast+ RMINIOOneClientConnection+ RMINIOStaticArguments+ RMINIOTwoClientConnection+ , ,RMINIOClientMetaStateNoBroadcast+ RMINIOOneClientReadWriteAtomic RMINIOOneClientReadWriteNonAtomic RMINIOServerMetaStateBroadcast+ RMINIOServerMetaStateNoBroadcast+ RMINIOTwoClientReadWriteAtomic+ RMINIOTwoClientReadWriteNonAtomic+ , ,
2,Tue Mar 26 21:40:40 EDT 2019,45,9,Assignment2TwoClientSuite,RMINIOClientMetaStateBroadcast RMINIOOneClientConnection RMINIOOneClientReadWriteNonAtomic+ RMINIOStaticArguments RMINIOTwoClientConnection ,RMINIOOneClientReadWriteAtomic+ RMINIOTwoClientReadWriteAtomic+ RMINIOTwoClientReadWriteNonAtomic+ ,RMINIOClientMetaStateNoBroadcast RMINIOServerMetaStateBroadcast RMINIOServerMetaStateNoBroadcast , ,
3,Tue Mar 26 21:48:27 EDT 2019,45,0,Assignment2TwoClientSuite,RMINIOClientMetaStateBroadcast RMINIOOneClientConnection RMINIOOneClientReadWriteNonAtomic RMINIOStaticArguments RMINIOTwoClientConnection ,RMINIOOneClientReadWriteAtomic RMINIOTwoClientReadWriteAtomic RMINIOTwoClientReadWriteNonAtomic ,RMINIOClientMetaStateNoBroadcast RMINIOServerMetaStateBroadcast RMINIOServerMetaStateNoBroadcast , ,
4,Tue Mar 26 22:09:23 EDT 2019,36,-9,Assignment2Suite,RMINIOClientMetaStateBroadcast RMINIOOneClientConnection RMINIOStaticArguments RMINIOTwoClientConnection ,RMINIOOneClientReadWriteAtomic RMINIOOneClientReadWriteNonAtomic- RMINIOTwoClientReadWriteAtomic RMINIOTwoClientReadWriteNonAtomic ,RMINIOClientMetaStateNoBroadcast RMINIOServerMetaStateBroadcast RMINIOServerMetaStateNoBroadcast , ,
