#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Apr 08 17:25:53 EDT 2019,54,54,Assignment3Suite,GIPCRMINIOClientMetaStateBroadcast+ GIPCRMINIOClientMetaStateNoBroadcast+ GIPCRMINIOOneClientConnection+ GIPCRMINIOOneClientReadWriteNonAtomic+ GIPCRMINIOStaticArguments+ GIPCRMINIOTwoClientConnection+ ,GIPCRMINIOOneClientReadWriteAtomic+ GIPCRMINIOTwoClientReadWriteAtomic+ GIPCRMINIOTwoClientReadWriteNonAtomic+ ,GIPCRMINIOServerMetaStateBroadcast- GIPCRMINIOServerMetaStateNoBroadcast- , ,
1,Wed Apr 24 23:06:22 EDT 2019,54,0,Assignment3OneClientSuite,GIPCRMINIOClientMetaStateBroadcast GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection ,GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteNonAtomic ,GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast , ,
2,Wed Apr 24 23:13:40 EDT 2019,45,-9,Assignment3TwoClientSuite,GIPCRMINIOClientMetaStateNoBroadcast GIPCRMINIOOneClientConnection GIPCRMINIOOneClientReadWriteNonAtomic GIPCRMINIOStaticArguments GIPCRMINIOTwoClientConnection ,GIPCRMINIOOneClientReadWriteAtomic GIPCRMINIOTwoClientReadWriteAtomic ,GIPCRMINIOClientMetaStateBroadcast- GIPCRMINIOServerMetaStateBroadcast GIPCRMINIOServerMetaStateNoBroadcast GIPCRMINIOTwoClientReadWriteNonAtomic- , ,
